P1344(e1,e2)	He made thirty appearances for <e1> Luxembourg </e1> in the <e2> Davis Cup </e2> between 1947 and 1957 , losing all thirty .
P1344(e1,e2)	<e1> Ina Kleber </e1> ( born 29 September 1964 in Greiz ) is a German former swimmer who competed in the <e2> 1980 Summer Olympics </e2> .
P1344(e1,e2)	The selection of alpine skier <e1> Žana Novaković </e1> as flagbearer for the <e2> 2014 Winter Olympics </e2> resulted in controversy as Igor Laikert had better results .
P1344(e1,e2)	Famous competitors include <e1> Rie Mastenbroek </e1> , who won the gold medal at the <e2> 1936 Summer Olympics </e2> in the 100 m freestyle , 400 m and 4 × 100 m freestyle .
P1344(e1,e2)	His wife , <e1> Marita Payne - Wiggins </e1> , competed for Canada in track and field at the <e2> 1984 Summer Olympics </e2> , winning two silver medals .
P1344(e2,e1)	At the <e1> 1992 Winter Olympics </e1> in Albertville , he won a bronze medal in the four - man event with teammates Gustav Weder , Donat Acklin and <e2> Lorenz Schindelholz </e2> .
P1344(e2,e1)	was the Icelandic entry in the <e1> Eurovision Song Contest 2000 </e1> , performed in English by <e2> August & Telma </e2> .
P1344(e2,e1)	Retrieved 2018 - 02 - 17 . and a finalist at the <e1> 1999 World Championships in Athletics </e1> . <e2> Jiri Kuntos </e2> .
P1344(e2,e1)	In the <e1> 1984 Summer Olympics </e1> , boxer <e2> Aziz Salihu </e2> became the first individual athlete from Kosovo winning an Olympic medal , a bronze in Super heavyweight .
P1344(e2,e1)	Marga Bult continued with a fairly successful solo career , which included her entry to the <e1> Eurovision Song Contest in 1987 </e1> , where she performed " Rechtop in the wind " under the pseudonym <e2> Marcha </e2> .
P39(e1,e2)	His father , also named <e1> Flavius Dalmatius </e1> , was the half - brother of Constantine and served as <e2> censor </e2> .
P39(e1,e2)	The town is reported as being " named after Sir Lintorn Simmons , Field Marshal and Commandant of the Royal Engineers " by <e1> William Jervois </e1> , the 10th <e2> Governor of South Australia </e2> .
P39(e1,e2)	She faced Republican <e1> Phil Scott </e1> , the Lieutenant <e2> Governor of Vermont </e2> , in the November general election .
P39(e1,e2)	Baroness <e1> Anna Maria Corazza Bildt </e1> ( born 10 March 1963 ) is a Swedish politician and <e2> Member of the European Parliament </e2> ( MEP ) from Sweden .
P39(e1,e2)	Toribiong was opposed by <e1> Elias Camsek Chin </e1> , the outgoing Palauan <e2> Vice President </e2> .
P39(e2,e1)	One of which included the first allegation of an indecent consecration of <e1> archbishop of Canterbury </e1> <e2> Matthew Parker </e2> .
P39(e2,e1)	In response to these events , <e1> President </e1> of Croatia , <e2> Ivo Josipović </e2> , called for understanding for Serbs who mourn for those they lost during the Operation Storm .
P39(e2,e1)	He was installed by <e1> Archbishop </e1> <e2> Giorgio Zur </e2> in the presence of his predecessor Archbishop S. Arulappa and of Bishop Joseph S. Thumma on 30 April 2000 .
P39(e2,e1)	<e1> Prime Minister </e1> <e2> Laurent Lamothe </e2> resigned on 14 December and was replaced by Evans Paul .
P39(e2,e1)	At 6:00 PM , General Ensio Siilasvuo , head of the UN Emergency Force in Cairo , called the <e1> Israeli Defense Minister </e1> , <e2> Moshe Dayan </e2> , and told him of the decision .
